gemeente,gemeente_id,bureau_id,bureau_label,bureau_zip,total_counted,cast,votes_ongeldig,votes_blanco,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA,Ons Water,West-Brabant Waterbreed,Partij van de Arbeid (P.v.d.A.),Partij voor de Dieren,Waterbelang Venlo,Waterbelang Midden-Limburg,Waterbelang Heuvelland,Waterbelang Land van Weert + Leudal,Waterbelang Westelijke Mijnstreek,Waterbelang Venray en Maasduinen,Waterbelang Horst-Helden-Beesel,Waterbelang Parkstad,Lokaal Limburg,Waterbelang Maastricht,SGP-ChristenUnie,Ons-Platteland,ChristenUnie-SGP,Trots op Nederland (TROTS),Vrienden van de Berkel,Vereniging Dorpshuizen en Kleine Kernen,Betaalbaar Water,Lokaal Waterbeheer,Verenigde Senioren Partij,"Groen, Water & Land",Natuurlijk BBW,Ouderen Appèl - Hart voor Water,Waterschapspartij Zeeuws-Vlaanderen,Partij voor Zeeland,AWP Niet Politiek Wel Deskundig,"AWPenLRR niet politiek, wel lokaal",Waterschapspartij Hollandse Delta,Hollandse Delta Natuurlijk,OUDERENPARTIJ,,Waterschap@inwonersbelangen,"AWP niet politiek, wel deskundig",FNP,Lagere Lasten Burger,Werken aan Water,De Groenen,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,Integer Liberaal,Partij Sociaal Cultureel Centrum (PSCC),Waterschapspartij PUUR.,"Water, Wonen en Natuur",ChristenUnie/SGP,Werk aan Water Flevoland,OPA
Zutphen,0301,0301::SB2,Stembureau Oude Stadhuis,7201 DN,718,942,1,14,22,101,,240,,,33,39,,,142,,,,,,,,,,,,,,,,134,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB3,Stembureau Het Plein,7200 AK,401,1228,2,4,8,53,,88,,,24,55,,,78,,,,,,,,,,,,,,,,92,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB4,Stembureau Het Bornhof,7204 TB,857,1637,3,21,54,70,,196,,,32,85,,,186,,,,,,,,,,,,,,,,229,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB5,Stembureau Waterkracht,,891,1429,7,48,74,53,,209,,,36,75,,,226,,,,,,,,,,,,,,,,203,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB6,Stembureau OBS De Waaier,,373,1594,32,3,37,29,,77,,,12,35,,,94,,,,,,,,,,,,,,,,86,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB7,Stembureau Emmanuelkerk,,604,1549,4,23,44,47,,121,,,28,68,,,122,,,,,,,,,,,,,,,,160,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB8,Stembureau Anne Flokstraschool,,691,1527,3,11,16,59,,200,,,36,46,,,153,,,,,,,,,,,,,,,,177,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB9,Stembureau De Lunette,,625,729,3,10,12,72,,189,,,30,53,,,116,,,,,,,,,,,,,,,,146,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB10,Stembureau De Polbeek,,1195,1787,4,18,43,100,,295,,,57,164,,,225,,,,,,,,,,,,,,,,300,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB11,Stembureau St.Elisabeth,7202 AR,552,1003,3,15,22,64,,164,,,20,46,,,84,,,,,,,,,,,,,,,,146,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB13,Stembureau Serviceflat De IJssel,,524,1087,0,12,40,51,,118,,,29,53,,,110,,,,,,,,,,,,,,,,121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB14,Stembureau School De Parel,,866,1970,2,30,50,55,,245,,,52,79,,,148,,,,,,,,,,,,,,,,227,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB15,Stembureau Buurthuis De Uitwijk,,1251,1754,2,24,82,106,,327,,,60,121,,,226,,,,,,,,,,,,,,,,315,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB16,Stembureau Vrije School Zutphen VO,,537,1165,0,6,19,43,,199,,,26,44,,,100,,,,,,,,,,,,,,,,103,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB17,Stembureau Ziekenhuis Zutphen,,691,1741,5,10,45,92,,171,,,34,84,,,121,,,,,,,,,,,,,,,,138,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB18,Stembureau Lea Dasbergschool,,1088,1588,1,18,53,137,,306,,,41,82,,,235,,,,,,,,,,,,,,,,225,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB19,Stembureau Educatief Centrum De Mene,,1161,1838,4,15,50,194,,278,,,44,121,,,233,,,,,,,,,,,,,,,,241,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB20,Stembureau FC Zutphen,,429,1560,0,5,13,95,,83,,,22,75,,,53,,,,,,,,,,,,,,,,84,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB21,Stembureau Chr. School Arcade,,991,1709,1,17,50,138,,232,,,38,145,,,165,,,,,,,,,,,,,,,,202,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB22,Stembureau Isendoorn Oostkaap,,400,1073,0,3,10,38,,87,,,17,54,,,71,,,,,,,,,,,,,,,,117,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB23,Stembureau 't Warnshuus,,1321,1441,5,31,82,135,,286,,,36,143,,,244,,,,,,,,,,,,,,,,369,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB24,Stembureau Zorg-wooncentrum den Bouw,,867,1259,4,11,33,141,,206,,,33,119,,,109,,,,,,,,,,,,,,,,213,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB25,Stembureau Het Nutsgebouw,,810,1209,1,14,23,91,,226,,,33,79,,,117,,,,,,,,,,,,,,,,218,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB26,Stembureau ROC Aventus,,342,675,0,5,8,36,,103,,,11,27,,,84,,,,,,,,,,,,,,,,71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB27,Stembureau DWK gebouw,,685,1808,3,14,28,60,,186,,,24,59,,,148,,,,,,,,,,,,,,,,176,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB1,Stembureau C.C. De Beuk,6061 EG,855,1693,17,6,36,53,,324,,,16,,,,,,6,343,3,2,8,0,3,7,50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB2,Stembureau Hotel-Restaurant Roerdalen,6061 AG,622,1715,6,21,24,46,,217,,,15,,,,,,5,258,3,8,7,1,0,6,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB3,Stembureau Woonzorgcentrum Bergh,6077 BK,752,1443,11,16,35,106,,129,,,32,,,,,,7,355,2,3,7,2,1,6,62,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB4,Stembureau MFC de Roerparel,6077 CG,681,1451,4,12,15,74,,111,,,32,,,,,,5,358,3,3,2,0,0,4,68,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB5,Stembureau Seniorenhof  De Vaert,6065 CX,670,1271,1,13,12,18,,27,,,14,,,,,,2,566,1,5,1,0,0,0,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB6,Stembureau Zaal onder de Kerk,6065 AS,703,1290,5,12,12,27,,67,,,12,,,,,,1,541,3,6,1,0,0,5,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB7,Stembureau Andreasheem,6074 BB,758,1594,2,18,22,111,,117,,,32,,,,,,10,363,1,10,4,3,2,4,76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB8,Stembureau Apollohal,6074 EH,728,1335,7,21,29,111,,136,,,14,,,,,,4,363,2,7,0,1,3,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB9,Stembureau Brede School De Berensprong,6075 CW,835,1824,7,21,41,90,,136,,,16,,,,,,9,478,3,7,6,2,1,0,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB10,Stembureau Woonzorgcentrum Bosscherhof,6075 HE,860,1752,4,38,37,81,,116,,,12,,,,,,6,514,2,8,7,6,2,3,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB11,Stembureau Zaal Roerzicht,6063 AL,421,1108,1,11,15,38,,58,,,9,,,,,,2,253,2,5,3,3,3,0,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roerdalen,1669,1669::SB12,Stembureau Basisschool St. Martinus,6063 BW,413,894,1,19,17,26,,56,,,3,,,,,,3,250,7,1,4,0,0,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhenen,0340,0340::SB1,Stembureau De Koningskamer,3911LB,789,1726,4,10,53,106,85,191,,72,,85,,,54,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,47,,,,,,,,,,,,,,,
Rhenen,0340,0340::SB2,Stembureau Huis van de Gemeente,3911MG,1123,1688,4,17,63,139,147,282,,118,,90,,,114,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,67,,,,,,,,,,,,,,,
Rhenen,0340,0340::SB3,Stembureau Gebouw de Vlam,3911XK,632,937,2,7,39,103,75,141,,53,,69,,,40,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,50,,,,,,,,,,,,,,,
Rhenen,0340,0340::SB4,Stembureau Steakhouse Cunera,3911AS,1061,1409,0,0,55,175,76,323,,86,,99,,,67,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,64,,,,,,,,,,,,,,,
Rhenen,0340,0340::SB5,Stembureau Ontmoetings-kerk,3911AE,767,1474,2,8,55,59,125,166,,75,,79,,,97,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,38,,,,,,,,,,,,,,,
Rhenen,0340,0340::SB6,Stembureau Rhenendael,3911RM,14,0,0,0,0,2,6,1,,1,,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,
Rhenen,0340,0340::SB7,Stembureau Het Dorpshuis,3911CX,31,0,0,0,3,0,15,3,,5,,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
Rhenen,0340,0340::SB8,Stembureau Het Bestegoed(basisschool het Visnet),3921EK,640,1797,4,4,36,90,154,110,,77,,64,,,21,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,23,,,,,,,,,,,,,,,
Rhenen,0340,0340::SB9,Stembureau Het Bestegoed (boven),3921CM,1383,1755,7,12,84,156,370,248,,122,,120,,,85,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,62,,,,,,,,,,,,,,,
Rhenen,0340,0340::SB10,Stembureau De Tollekamp,3911ND,626,1409,3,16,41,66,79,142,,68,,85,,,59,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,26,,,,,,,,,,,,,,,
