title,gender,price,source
Jurk met ketting,dames,29.90,ca
THE SHORT JEANS met riem - Jog Denim,dames,19.90,ca
THE SKIRT JEANS,dames,19.90,ca
Blouse - biokatoen,dames,9.90,ca
Sportshorts,dames,12.90,ca
Hipsters - biokatoen - set met 6 stuks,dames,12.90,ca
Bikinitopje - gewatteerd,dames,4.50,ca
Pet - glanseffect,dames,8.00,ca
Pet - glanseffect,dames,8.00,ca
Pet,dames,7.00,ca
T-shirt - biokatoen,dames,9.90,ca
Strings - set met 3 stuks,dames,7.00,ca
Hipster - set met 3 stuks - naadloos,dames,7.00,ca
Hipster - set met 3 stuks  - naadloos,dames,7.00,ca
THE SUPER SKINNY JEANS,dames,29.90,ca
Blouse,dames,12.90,ca
Hipster - set met 3 stuks - naadloos,dames,7.00,ca
THE SUPER SKINNY JEANS,dames,8.90,ca
Blouse,dames,14.90,ca
Blouse - gestreept,dames,14.90,ca
Legging - biokatoen,dames,19.90,ca
Hipster - set met 3 stuks - naadloos,dames,7.00,ca
Hipster,dames,7.00,ca
Slip,dames,6.00,ca
Hipster,dames,4.90,ca
String,dames,4.90,ca
String,dames,6.00,ca
Slip,dames,6.00,ca
Slip,dames,9.90,ca
T-shirt - biokatoen,dames,9.90,ca
THE C&A BALCONETTE - gewatteerd,dames,7.90,ca
Onderrok,dames,9.90,ca
THE C&A BALCONETTE - gewatteerd,dames,14.90,ca
Onderrok,dames,12.90,ca
A-lijn-jurk,dames,14.90,ca
Shorts,dames,9.90,ca
THE C&A FULL COVERAGE - gewatteerd,dames,14.90,ca
Joggingbroek,dames,8.00,ca
Empire-jurk met stola - feestelijk,dames,79.00,ca
Gewatteerd jack,dames,18.00,ca
T-shirt,dames,25.00,ca
Jurk,dames,49.00,ca
Jurk,dames,25.00,ca
Broek,dames,24.90,ca
Blazer van linnenmix,dames,49.00,ca
Panty - 15 DEN,dames,7.00,ca
Jarretel - 15 DEN,dames,9.00,ca
T-shirt - met stippen,dames,19.00,ca
Bigshirt - biokatoen - gestreept,dames,19.00,ca
Blouse - gestreept,dames,29.00,ca
T-shirt,dames,12.90,ca
Blouse - met stippen,dames,29.00,ca
Businessblazer,dames,59.00,ca
Shorts,dames,12.90,ca
Shorts,dames,12.90,ca
Blazer,dames,34.90,ca
T-shirt,dames,19.00,ca
T-shirt,dames,12.90,ca
Fit & flare-jurk,dames,69.90,ca
Klederdrachtblouse - geruit,dames,29.00,ca
Sneakersokken - 10 paar,dames,7.00,ca
THE C&A DEMI - biokatoen - gewatteerd - duopack,dames,13.00,ca
Panty - 15 DEN,dames,7.00,ca
Panty - 40 DEN,dames,7.00,ca
T-shirt - glanseffect,dames,19.90,ca
Bikinibroekje,dames,7.90,ca
BH met beugels - gewatteerd,dames,14.90,ca
Sport-bh,dames,17.00,ca
Slip,dames,6.00,ca
BH met beugels,dames,12.90,ca
Voedings-BH,dames,17.00,ca
Slip,dames,4.90,ca
Basic-longsleeve,dames,3.50,ca
Slip,dames,6.00,ca
Sport-T-shirt,dames,12.00,ca
Sporttopje,dames,9.00,ca
