,articlecode,category,heading,href,price,quality,swatches
2957,0661399006,ladies_sport_sportbras,Sport-bh High support,/nl_nl/productpage.0661399006.html,19.99,,['Wit']
2958,0632307015,ladies_tops_vests,Mouwloze top,/nl_nl/productpage.0632307015.html,9.99,,['Donkergroen']
2959,0573716046,ladies_trousers_slim,Pantalon,/nl_nl/productpage.0573716046.html,14.99,,['Poederroze']
2960,0726003001,ladies_dresses_shortdresses,Overslagjurk,/nl_nl/productpage.0726003001.html,34.99,,['Zwart/bloemen']
2961,0559649001,ladies_swimwear_bikinisets_tops,Padded bikinitop,/nl_nl/productpage.0559649001.html,14.99,,['Zwart']
2962,0750712002,ladies_shirtsblouses_blouses,Overslagblouse,/nl_nl/productpage.0750712002.html,19.99,,['Donkerblauw']
2963,0617534015,ladies_tops_shortsleeve,Linnen top,/nl_nl/productpage.0617534015.html,14.99,PREMIUM QUALITY,['Kakigroen']
2964,0729944002,ladies_skirts_midiskirts,Midirok,/nl_nl/productpage.0729944002.html,24.99,,['Roomwit/bloemen']
2965,0697992006,ladies_knitwear_jumpers,Gebreide trui,/nl_nl/productpage.0697992006.html,24.99,,['Donkerbeige']
2966,0757726003,ladies_tops_vests,One-shouldertop,/nl_nl/productpage.0757726003.html,14.99,,['Zwart']
2967,0637255001,ladies_dresses_shortdresses,Tricot jurk,/nl_nl/productpage.0637255001.html,14.99,,['Zwart']
2968,0608013006,ladies_dresses_maxidresses,Lange bandeaujurk,/nl_nl/productpage.0608013006.html,59.99,,['Poederroze']
2969,0574874006,ladies_nightwear_pyjamas,Pyjamabroek met dessin,/nl_nl/productpage.0574874006.html,14.99,,['Donkerblauw/bloemen']
2970,0739417003,ladies_trousers_chinosslacks,Enkellange utilitybroek,/nl_nl/productpage.0739417003.html,49.99,,['Donker kakigroen']
2971,0766682001,ladies_skirts_midiskirts,Plissérok,/nl_nl/productpage.0766682001.html,29.99,,['Kakigroen/slangenleerdessin']
2972,0608007015,ladies_dresses_mididresses,Kanten jurk,/nl_nl/productpage.0608007015.html,69.99,,['Lichtblauw']
2973,0747331001,ladies_maternity_bottoms,MAMA Denim rok,/nl_nl/productpage.0747331001.html,29.99,,['Denimblauw']
2974,0640989004,ladies_shoes_sandals_espandrillos,Leren sandalen,/nl_nl/productpage.0640989004.html,29.99,PREMIUM QUALITY,['Beige']
2975,0511105002,ladies_accessories_sunglasses,Zonnebril,/nl_nl/productpage.0511105002.html,12.99,,['Zilverkleurig']
2976,0800392001,ladies_plus_tops,H&M+ Top met print,/nl_nl/productpage.0800392001.html,14.99,,['Roomwit/Ariana Grande']
2977,0637149008,ladies_bags_shopperstotes,Nettas,/nl_nl/productpage.0637149008.html,12.99,,['Gebroken wit/zilverkleurig']
2978,0637283006,ladies_dresses_mididresses,Jurk met ceintuur,/nl_nl/productpage.0637283006.html,34.99,,['Zwart/wit gestreept']
2979,0717484003,ladies_maternity_dresses,MAMA Voedingsjurk,/nl_nl/productpage.0717484003.html,29.99,,['Donkerblauw/bloemen']
2980,0745475005,ladies_dresses_shortdresses,Jurk met V-hals,/nl_nl/productpage.0745475005.html,19.99,,['Gebroken wit/bloemen']
2981,0747216003,ladies_shirtsblouses_blouses,Viscose blouse met dessin,/nl_nl/productpage.0747216003.html,14.99,,['Rood/bloemen']
2982,0753061006,ladies_dresses_shortdresses,Tricot jurk van modalmix,/nl_nl/productpage.0753061006.html,9.99,,['Taupe']
2983,0742455004,ladies_jumpsuits_short,Korte jumpsuit met V-hals,/nl_nl/productpage.0742455004.html,9.99,,['Zwart/citroenen']
2984,0607642008,ladies_tops_vests,Top met V-hals,/nl_nl/productpage.0607642008.html,19.99,,['Zwart/wit gestreept']
2985,0702495003,ladies_maternity_dresses,MAMA Jurk met volantmouwen,/nl_nl/productpage.0702495003.html,29.99,,['Lichtroze']
2986,0739144013,ladies_shorts,Wijde short,/nl_nl/productpage.0739144013.html,9.99,,['Donkerblauw/paisleydessin']
2987,0433444019,ladies_maternity_tops,MAMA Set van 2 tops,/nl_nl/productpage.0433444019.html,14.99,,['Lichtgrijs gemêl./donkerblauw']
2988,0616049014,ladies_accessories_hairaccessories,Set van 2 haarsjaaltjes,/nl_nl/productpage.0616049014.html,9.99,,['Roest/dessin']
2989,0729928010,ladies_skirts_shortskirts,Cirkelrok,/nl_nl/productpage.0729928010.html,14.99,,['Zwart/bloemen']
2990,0731743002,ladies_shoes_sandals_espandrillos,Teenslippers,/nl_nl/productpage.0731743002.html,4.99,,['Zwart/slangenleerdessin']
2991,0743237001,ladies_shoes_sandals_espandrillos,Leren sandalen,/nl_nl/productpage.0743237001.html,59.99,PREMIUM QUALITY,['Wit']
2992,0577513006,ladies_dresses_shortdresses,Jurk met pofmouwen,/nl_nl/productpage.0577513006.html,29.99,,['Lichtroze']
2993,0680262004,ladies_sport_bottoms,Sportlegging,/nl_nl/productpage.0680262004.html,19.99,,['Donkerblauw/blokkleuren']
2994,0605092013,ladies_lingerie_briefsknickers_thong,Set van 3 slips - Thong,/nl_nl/productpage.0605092013.html,9.99,,['Lichtroze/bloemen']
2995,0519583034,ladies_jeans_skinny_skinnyregular,Skinny Regular Jeans,/nl_nl/productpage.0519583034.html,19.99,,['Wit']
2996,0694182002,ladies_dresses_mididresses,Plisséjurk,/nl_nl/productpage.0694182002.html,39.99,,['Donkerblauw']
2997,0617488003,ladies_jumpsuits_short,Mouwloze jumpsuit,/nl_nl/productpage.0617488003.html,29.99,,['Lichtgroen']
2998,0772349005,ladies_shorts,Sweatshort,/nl_nl/productpage.0772349005.html,9.99,,['Heidepaars']
2999,0694410001,ladies_shoes_pumps_highheels,Sandaletten,/nl_nl/productpage.0694410001.html,34.99,,['Zwart']
3000,0736659001,ladies_lingerie_bras_softwireless,Kanten bh-top,/nl_nl/productpage.0736659001.html,19.99,,['Licht poederroze']
3001,0607269002,ladies_maternity_nursing,MAMA Voedingsjurk,/nl_nl/productpage.0607269002.html,24.99,,['Rood/gestreept']
3002,0684210003,ladies_cardigansjumpers_cardigans,Structuurgebreid vest,/nl_nl/productpage.0684210003.html,34.99,,['Lichtbeige']
3003,0739455008,ladies_tops_vests,Straptop met V-hals,/nl_nl/productpage.0739455008.html,12.99,,['Roomwit']
3004,0760532001,ladies_nightwear_pyjamas,Set van 2 pyjamashorts,/nl_nl/productpage.0760532001.html,14.99,,['Grijs gemêleerd/Snoopy']
3005,0626593002,ladies_dresses_shortdresses,Overhemdjurk,/nl_nl/productpage.0626593002.html,19.99,,['Donkerblauw/bloemen']
3006,0588771001,ladies_dresses_shortdresses,Mouwloze jurk,/nl_nl/productpage.0588771001.html,19.99,,['Zwart']
3007,0561445003,ladies_tops_shortsleeve,Tricot top,/nl_nl/productpage.0561445003.html,4.99,,['Lichtblauw gemêleerd']
3008,0554784003,ladies_tops_shortsleeve,Off-the-shouldertop,/nl_nl/productpage.0554784003.html,8.99,,['Wit']
3009,0511105009,ladies_accessories_sunglasses,Zonnebril,/nl_nl/productpage.0511105009.html,12.99,,['Poederroze']
3010,0742942001,ladies_accessories_sunglasses,Zonnebril,/nl_nl/productpage.0742942001.html,12.99,,['Goudkleurig']
3011,0773980005,ladies_tops_vests,Straptop met smokwerk,/nl_nl/productpage.0773980005.html,12.99,,['Wit']
