,articlecode,category,heading,href,price,quality,swatches
2260,0413170003,men_accessories_hatsandgloves,Ribgebreide muts,/nl_nl/productpage.0413170003.html,2.99,,['Zwart']
2261,0780360001,men_tshirtstanks_shortsleeve,T-shirt van pimakatoen,/nl_nl/productpage.0780360001.html,24.99,,['Wit/donkerblauw']
2262,0615178003,men_shorts_basics,Sweatshort,/nl_nl/productpage.0615178003.html,19.99,,['Zwart']
2263,0504658002,men_jacketscoats_jackets,Gewatteerd jack,/nl_nl/productpage.0504658002.html,49.99,,['Camel']
2264,0675647001,men_jeans_loose,Baggy Jeans,/nl_nl/productpage.0675647001.html,39.99,,['Donker denimblauw']
2265,0397068014,men_jeans_skinny,Skinny Jeans,/nl_nl/productpage.0397068014.html,19.99,,['Grijs denim']
2266,0537535003,men_jacketscoats_jackets,Korte parka met capuchon,/nl_nl/productpage.0537535003.html,39.99,,['Kakigroen']
2267,0635164003,men_jacketscoats_jackets,Gewatteerd jack,/nl_nl/productpage.0635164003.html,39.99,,['Donkerblauw']
2268,0661735001,men_sport_jackets,Hardloopjack - winter,/nl_nl/productpage.0661735001.html,39.99,,['Donkerblauw']
2269,0762996001,men_accessories_jewellery,6 paar oorstekers,/nl_nl/productpage.0762996001.html,7.99,,['Zilverkleurig']
2270,0633225007,men_blazerssuits_blazers,Colbert - Skinny fit,/nl_nl/productpage.0633225007.html,59.99,,['Donkerblauw/geruit']
2271,0550879007,men_shoes_boots,Chelseaboots,/nl_nl/productpage.0550879007.html,99.00,PREMIUM QUALITY,['Zwart']
2272,0670049004,men_trousers_trousers_slim_all,Enkellange broek van katoen,/nl_nl/productpage.0670049004.html,79.99,,['Donkerblauw/zwart']
2273,0690228001,men_trousers_joggers,Joggers - Slim Fit,/nl_nl/productpage.0690228001.html,19.99,,['Kakigroen']
2274,0731908001,men_accessories_jewellery,Set van 3 ringen,/nl_nl/productpage.0731908001.html,7.99,,['Goudkleurig/zilverkleurig']
2275,0548166001,men_tshirtstanks_longsleeve,Tricot shirt met print,/nl_nl/productpage.0548166001.html,17.99,,['Gebroken wit']
2276,0637411001,men_shirts_casual,Overhemd - Regular fit,/nl_nl/productpage.0637411001.html,19.99,,['Donkergrijs gemêleerd']
2277,0631785002,men_trousers_dressed,Kostuumpantalon - Skinny fit,/nl_nl/productpage.0631785002.html,29.99,,['Donkerblauw']
2278,0714965001,men_shoes_boots,Leren boots,/nl_nl/productpage.0714965001.html,89.99,PREMIUM QUALITY,['Bruin']
2279,0602409009,men_cardigansjumpers_jumpers,Katoenen trui met V-hals,/nl_nl/productpage.0602409009.html,19.99,,['Donkergrijs gemêleerd']
